Идентификатор пользователя;Лицевой счёт;Телефон;Электронная почта
sub-2100303314;2100303314;+7 930 331-41-00;ab_303314@test.vodokanal.example
sub-2100606617;2100606617;+7 960 661-71-00;ab_606617@test.vodokanal.example
sub-2100909920;2100909920;+7 990 992-01-00;ab_909920@test.vodokanal.example
sub-2100131223;2100131223;+7 913 122-31-00;ab_131223@test.vodokanal.example
sub-2100171627;2100171627;+7 917 162-71-00;ab_171627@test.vodokanal.example
sub-2100212031;2100212031;+7 921 203-11-00;ab_212031@test.vodokanal.example
sub-2100243334;2100243334;+7 924 333-41-00;ab_243334@test.vodokanal.example
sub-2100273637;2100273637;+7 927 363-71-00;ab_273637@test.vodokanal.example
sub-2100314041;2100314041;+7 931 404-11-00;ab_314041@test.vodokanal.example
sub-2100344344;2100344344;+7 934 434-41-00;ab_344344@test.vodokanal.example
sub-2100374647;2100374647;+7 937 464-71-00;ab_374647@test.vodokanal.example
sub-2100415051;2100415051;+7 941 505-11-00;ab_415051@test.vodokanal.example
sub-2100445354;2100445354;+7 944 535-41-00;ab_445354@test.vodokanal.example
sub-2100475657;2100475657;+7 947 565-71-00;ab_475657@test.vodokanal.example
sub-2100516061;2100516061;+7 951 606-11-00;ab_516061@test.vodokanal.example
sub-2100546364;2100546364;+7 954 636-41-00;ab_546364@test.vodokanal.example
sub-2100576667;2100576667;+7 957 666-71-00;ab_576667@test.vodokanal.example
sub-2100617071;2100617071;+7 961 707-11-00;ab_617071@test.vodokanal.example
sub-2100647374;2100647374;+7 964 737-41-00;ab_647374@test.vodokanal.example
sub-2100677677;2100677677;+7 967 767-71-00;ab_677677@test.vodokanal.example
sub-2100718081;2100718081;+7 971 808-11-00;ab_718081@test.vodokanal.example
sub-2100748384;2100748384;+7 974 838-41-00;ab_748384@test.vodokanal.example
sub-2100778687;2100778687;+7 977 868-71-00;ab_778687@test.vodokanal.example
sub-2100819091;2100819091;+7 981 909-11-00;ab_819091@test.vodokanal.example
sub-2100849394;2100849394;+7 984 939-41-00;ab_849394@test.vodokanal.example
sub-2100879697;2100879697;+7 987 969-71-00;ab_879697@test.vodokanal.example
sub-2100910001;2100910001;+7 991 000-11-00;ab_910001@test.vodokanal.example
sub-2100940304;2100940304;+7 994 030-41-00;ab_940304@test.vodokanal.example
sub-2100970607;2100970607;+7 997 060-71-00;ab_970607@test.vodokanal.example
sub-2100111011;2100111011;+7 911 101-11-00;ab_111011@test.vodokanal.example
sub-2100426037;2100426037;+7 942 603-71-00;ab_426037@test.vodokanal.example
sub-2100759360;2100759360;+7 975 936-01-00;ab_759360@test.vodokanal.example
sub-2100193704;2100193704;+7 919 370-41-00;ab_193704@test.vodokanal.example
sub-2100526037;2100526037;+7 952 603-71-00;ab_526037@test.vodokanal.example
sub-2100859360;2100859360;+7 985 936-01-00;ab_859360@test.vodokanal.example
sub-2100293704;2100293704;+7 929 370-41-00;ab_293704@test.vodokanal.example
sub-2100626037;2100626037;+7 962 603-71-00;ab_626037@test.vodokanal.example
sub-2100959360;2100959360;+7 995 936-01-00;ab_959360@test.vodokanal.example
sub-2100393704;2100393704;+7 939 370-41-00;ab_393704@test.vodokanal.example
sub-2100726037;2100726037;+7 972 603-71-00;ab_726037@test.vodokanal.example
sub-2100059360;2100059360;+7 905 936-01-00;ab_059360@test.vodokanal.example
sub-2100493704;2100493704;+7 949 370-41-00;ab_493704@test.vodokanal.example
sub-2100826037;2100826037;+7 982 603-71-00;ab_826037@test.vodokanal.example
sub-2100159360;2100159360;+7 915 936-01-00;ab_159360@test.vodokanal.example
sub-2100593704;2100593704;+7 959 370-41-00;ab_593704@test.vodokanal.example
sub-2100926037;2100926037;+7 992 603-71-00;ab_926037@test.vodokanal.example
sub-2100259360;2100259360;+7 925 936-01-00;ab_259360@test.vodokanal.example
sub-2100693704;2100693704;+7 969 370-41-00;ab_693704@test.vodokanal.example
sub-2100026037;2100026037;+7 902 603-71-00;ab_026037@test.vodokanal.example
sub-2100359360;2100359360;+7 935 936-01-00;ab_359360@test.vodokanal.example
sub-2100793704;2100793704;+7 979 370-41-00;ab_793704@test.vodokanal.example
sub-2100126037;2100126037;+7 912 603-71-00;ab_126037@test.vodokanal.example
sub-2100459360;2100459360;+7 945 936-01-00;ab_459360@test.vodokanal.example
sub-2100893704;2100893704;+7 989 370-41-00;ab_893704@test.vodokanal.example
sub-2100226037;2100226037;+7 922 603-71-00;ab_226037@test.vodokanal.example
sub-2100559360;2100559360;+7 955 936-01-00;ab_559360@test.vodokanal.example
sub-2100993704;2100993704;+7 999 370-41-00;ab_993704@test.vodokanal.example
sub-2100326037;2100326037;+7 932 603-71-00;ab_326037@test.vodokanal.example
sub-2100659360;2100659360;+7 965 936-01-00;ab_659360@test.vodokanal.example
sub-2100871582;2100871582;+7 987 158-21-00;ab_871582@test.vodokanal.example
