Номер лицевого счёта;ФИО;Адрес;Баланс;Задолженность;Дата открытия
2100101112;Иванова Мария Сергеевна;г. Воронеж, ул. Станкевича, д. 55, кв. 45;0,00;0,00;2015-03-14
2100202213;Петров Николай Егорович;г. Воронеж, Зои Космодемьянской, д. 50, кв. 78;-1250,00;1250,00;2012-07-22
2100303314;Кузнецова Ольга Дмитриевна;г. Воронеж, ул. Курчатова, д. 50, кв. 12;4553,89;0,00;2018-11-03
2100404415;Смирнов Андрей Павлович;г. Воронеж, Айвазовского, д. 2а, кв. 201;0,00;0,00;2010-05-19
2100505516;Попова Елена Владимировна;г. Воронеж, ул. Хользунова, д. 137, кв. 34;-895,74;895,74;2016-09-27
2100606617;Соколов Дмитрий Михайлович;г. Воронеж, ул. Геращенко, д. 1, кв. 150;0,00;0,00;2019-02-08
2100707718;Михайлова Татьяна Алексеевна;г. Воронеж, ул. Саврасова, д. 2, кв. 9;-331,78;331,78;2013-12-01
2100808819;Новиков Сергей Константинович;г. Воронеж, Минская, д. 29, кв. 260;0,00;0,00;2021-06-15
2100909920;Фёдорова Наталья Петровна;г. Воронеж, ул. Ярославская, д. 28, кв. 71;91,32;0,00;2014-08-24
2100110021;Морозов Владимир Николаевич;г. Воронеж, Артамонова, д. 70, кв. 183;0,00;0,00;2017-04-11
2100121122;Васильев Павел Андреевич;г. Воронеж, ул. Ст. Большевиков, д. 135, кв. 27;0,00;0,00;2011-10-30
2100131223;Кузнецова Анна Егоровна;г. Воронеж, Суворова, д. 140, кв. 305;-2367,03;2367,03;2015-01-17
2100141324;Иванов Константин Сергеевич;г. Воронеж, ул. Б.Пионеров, д. 17б, кв. 122;0,00;0,00;2020-03-25
2100151425;Петрова Светлана Михайловна;г. Воронеж, ул. пер. Рамонский, д. 15, кв. 48;1200,00;0,00;2012-11-09
2100161526;Сидоров Егор Владимирович;г. Воронеж, ул. Ю. Янониса, д. 11, кв. 190;0,00;0,00;2018-07-04
2100171627;Смирнова Ирина Алексеевна;г. Воронеж, ул. 60 лет ВЛКСМ, д. 11, кв. 15;-745,04;745,04;2016-05-21
2100181728;Попов Михаил Дмитриевич;г. Воронеж, ул. Курчатова, д. 73, кв. 244;0,00;0,00;2013-09-13
2100191829;Соколова Екатерина Николаевна;г. Воронеж, ул. Гродненская, д. 2, кв. 66;542,10;0,00;2019-12-28
2100201930;Михайлов Алексей Петрович;г. Воронеж, ул. Студенческая, д. 34, кв. 137;0,00;0,00;2010-08-06
2100212031;Новикова Юлия Константиновна;г. Воронеж, ул. Меркулова, д. 5, кв. 298;-1642,08;1642,08;2017-02-19
2100223132;Фёдоров Андрей Егорович;г. Воронеж, Старых Большевиков, д. 77, кв. 84;0,00;0,00;2014-06-02
2100233233;Морозова Виктория Сергеевна;г. Воронеж, ул. Циолковского, д. 7/1, кв. 213;0,00;0,00;2021-09-16
2100243334;Васильева Дарья Павловна;г. Воронеж, ул. Дорожная, д. 7а, кв. 40;-508,00;508,00;2012-04-08
2100253435;Иванов Дмитрий Владимирович;г. Воронеж, ул. пер. Аннинский, д. 33, кв. 171;0,00;0,00;2016-01-26
2100263536;Петров Егор Алексеевич;г. Воронеж, Антокольского ул, д. 10, кв. 92;300,00;0,00;2019-05-12
2100273637;Кузнецова Марина Андреевна;г. Воронеж, ул. Ст. Большевиков, д. 129, кв. 256;0,00;0,00;2011-07-29
2100283738;Смирнов Павел Николаевич;г. Воронеж, ул. пер. Гвардейский, д. 32, кв. 61;-2140,50;2140,50;2015-10-14
2100293839;Попова Анастасия Дмитриевна;г. Воронеж, Артамонова, д. 44, кв. 148;0,00;0,00;2020-08-21
2100303940;Соколов Николай Сергеевич;г. Воронеж, ул. 60 лет ВЛКСМ, д. 5, кв. 33;78,93;0,00;2013-03-07
2100314041;Михайлова Ольга Владимировна;г. Воронеж, ул. Пешестрелецкая, д. 174, кв. 205;0,00;0,00;2018-01-15
2100324142;Новиков Константин Петрович;г. Воронеж, ул. Спор. Набережная, д. 33, кв. 118;-967,20;967,20;2016-11-23
2100334243;Фёдорова Татьяна Егоровна;г. Воронеж, Ленинский пр. 124а, д. 134, кв. 76;0,00;0,00;2012-09-05
2100344344;Морозов Сергей Михайлович;г. Воронеж, ул. Брусилова, д. 3в, кв. 289;0,00;0,00;2019-04-18
2100354445;Васильев Алексей Константинович;г. Воронеж, Писарева, д. 45, кв. 52;254,44;0,00;2014-12-10
2100364546;Иванова Елена Андреевна;г. Воронеж, ул. Домостроителей, д. 109, кв. 164;0,00;0,00;2017-06-27
2100374647;Петрова Наталья Сергеевна;г. Воронеж, ул. Керамическая, д. 42, кв. 239;-3675,00;3675,00;2010-02-14
2100384748;Сидорова Мария Владимировна;г. Воронеж, ул. А. Овсеенко, д. 29, кв. 101;0,00;0,00;2021-01-09
2100394849;Кузнецов Владимир Алексеевич;г. Воронеж, ул. пер. Рамонский, д. 9, кв. 317;0,00;0,00;2015-07-26
2100404950;Смирнова Екатерина Павловна;г. Воронеж, ул. Никитинская, д. 7, кв. 28;-457,90;457,90;2013-05-31
